date,World Cup Qualif,Team_home,Team_away,Goals_home,Goals_away
2008-10-15,2010,Venezuela,Ecuador,3.0,1.0
2009-03-28,2010,Uruguay,Paraguay,2.0,0.0
2009-03-28,2010,Argentina,Venezuela,4.0,0.0
2009-03-28,2010,Colombia,Bolivia,2.0,0.0
2009-03-29,2010,Ecuador,Brazil,1.0,1.0
2009-03-29,2010,Peru,Chile,1.0,3.0
2009-03-31,2010,Venezuela,Colombia,2.0,0.0
2009-04-01,2010,Bolivia,Argentina,6.0,1.0
2009-04-01,2010,Ecuador,Paraguay,1.0,1.0
2009-04-01,2010,Chile,Uruguay,0.0,0.0
2009-04-01,2010,Brazil,Peru,3.0,0.0
2009-06-06,2010,Uruguay,Brazil,0.0,4.0
2009-06-06,2010,Bolivia,Venezuela,0.0,1.0
2009-06-06,2010,Argentina,Colombia,1.0,0.0
2009-06-06,2010,Paraguay,Chile,0.0,2.0
2009-06-07,2010,Peru,Ecuador,1.0,2.0
2009-06-10,2010,Ecuador,Argentina,2.0,0.0
2009-06-10,2010,Colombia,Peru,1.0,0.0
2009-06-10,2010,Brazil,Paraguay,2.0,1.0
2009-06-10,2010,Chile,Bolivia,4.0,0.0
2009-06-10,2010,Venezuela,Uruguay,2.0,2.0
2009-09-05,2010,Colombia,Ecuador,2.0,0.0
2009-09-05,2010,Peru,Uruguay,1.0,0.0
2009-09-05,2010,Paraguay,Bolivia,1.0,0.0
2009-09-05,2010,Argentina,Brazil,1.0,3.0
2009-09-05,2010,Chile,Venezuela,2.0,2.0
2009-09-09,2010,Bolivia,Ecuador,1.0,3.0
2009-09-09,2010,Uruguay,Colombia,3.0,1.0
2009-09-09,2010,Paraguay,Argentina,1.0,0.0
2009-09-09,2010,Brazil,Chile,4.0,2.0
2009-09-09,2010,Venezuela,Peru,3.0,1.0
2009-10-10,2010,Argentina,Peru,2.0,1.0
2009-10-10,2010,Colombia,Chile,2.0,4.0
2009-10-10,2010,Ecuador,Uruguay,1.0,2.0
2009-10-10,2010,Venezuela,Paraguay,1.0,2.0
2009-10-11,2010,Bolivia,Brazil,2.0,1.0
2009-10-14,2010,Peru,Bolivia,1.0,0.0
2009-10-14,2010,Brazil,Venezuela,0.0,0.0
2009-10-14,2010,Chile,Ecuador,1.0,0.0
2009-10-14,2010,Uruguay,Argentina,0.0,1.0
2009-10-14,2010,Paraguay,Colombia,0.0,2.0
2011-10-07,2014,Uruguay,Bolivia,4.0,2.0
2011-10-07,2014,Ecuador,Venezuela,2.0,0.0
2011-10-07,2014,Argentina,Chile,4.0,1.0
2011-10-07,2014,Peru,Paraguay,2.0,0.0
2011-10-11,2014,Bolivia,Colombia,1.0,2.0
2011-10-11,2014,Chile,Peru,4.0,2.0
2011-10-11,2014,Paraguay,Uruguay,1.0,1.0
2011-10-11,2014,Venezuela,Argentina,1.0,0.0
